Amsterdam,realSum,room_private,person_capacity,cleanliness_rating,guest_satisfaction_overall,bedrooms,lng,lat
Amsterdam,614.4400441,TRUE,4,9,95,2,4.88085,52.37542
Amsterdam,202.7042861,TRUE,2,9,86,1,4.85001,52.35482
Amsterdam,430.248635,FALSE,2,10,96,1,4.85439,52.3528
Amsterdam,243.2451433,TRUE,2,9,92,1,4.94234,52.31694
Amsterdam,277.6931549,TRUE,2,10,97,1,4.85512,52.36458
Amsterdam,356.4314672,TRUE,2,10,99,1,4.90341,52.34766
Amsterdam,555.3863098,TRUE,3,10,96,1,4.88729,52.37293
Amsterdam,352.6820238,FALSE,2,9,96,1,4.83576,52.34888
Amsterdam,318.2340121,TRUE,4,9,94,1,4.88381,52.37428
Amsterdam,368.6171584,FALSE,2,9,98,1,4.8693,52.36534
Amsterdam,774.2600708,TRUE,4,10,99,1,4.94043,52.37632
Amsterdam,1029.925245,FALSE,4,9,95,1,4.89078,52.35733
Amsterdam,326.6702599,FALSE,4,8,90,3,4.90505,52.40775
Amsterdam,299.7211351,TRUE,2,10,100,1,4.85085,52.35075
Amsterdam,688.0228716,FALSE,4,8,91,2,4.8808,52.32989
Amsterdam,399.3157266,FALSE,3,10,98,1,4.93125,52.36517
Amsterdam,362.5243128,FALSE,2,10,97,2,4.91163,52.3542
Amsterdam,350.1042814,TRUE,2,10,93,0,4.8768,52.3769
Amsterdam,1038.361493,FALSE,2,9,90,1,4.86843,52.36846
Amsterdam,432.3576969,TRUE,2,8,90,1,4.87292,52.36957
Amsterdam,337.68425,TRUE,2,10,98,1,4.91487,52.36912
Amsterdam,1118.271507,FALSE,4,10,95,3,4.88954,52.35575
Amsterdam,335.5751881,TRUE,2,9,92,0,4.9268,52.35179
Amsterdam,468.2117498,FALSE,2,10,95,1,4.87182,52.39115
Amsterdam,241.839102,TRUE,2,9,90,1,4.80538,52.35457
Amsterdam,1739.038736,FALSE,4,10,98,2,4.894,52.354
Amsterdam,368.6171584,FALSE,2,10,98,1,4.8016,52.36542
Amsterdam,346.5891782,TRUE,2,9,89,0,4.89581,52.35523
Amsterdam,417.8286036,TRUE,4,10,96,2,4.92598,52.35614
Amsterdam,421.3437068,FALSE,2,10,95,1,4.87309,52.38293
Amsterdam,712.8629344,FALSE,2,10,94,1,4.87867,52.37745
Amsterdam,308.3917231,TRUE,3,9,97,1,4.86939,52.36401
Amsterdam,333.2317859,TRUE,2,9,88,0,4.88968,52.35414
Amsterdam,356.197127,TRUE,2,10,100,1,4.91674,52.38177
Amsterdam,351.5103227,TRUE,2,9,84,0,4.89034,52.35927
Amsterdam,264.3357627,TRUE,2,10,97,1,4.9452,52.37413
Amsterdam,344.245776,TRUE,2,10,98,1,4.862,52.36
Amsterdam,515.7828135,FALSE,4,9,93,3,4.85397,52.37062
Amsterdam,491.6457713,FALSE,6,10,90,3,4.83588,52.36325
Amsterdam,501.2537202,FALSE,2,10,100,1,4.85911,52.37315
Amsterdam,552.8085675,FALSE,3,10,100,1,4.88128,52.38435
Amsterdam,386.1926745,TRUE,2,10,96,1,4.896,52.37137
